filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	date	like_count	dislike_count
how i (fiNalLY) cleared my skin-UirKn4LBo_E.jpg	68	183	55.7518	39	54.1483	13	56.8575	20190606	81626	422
how i do my hair-l_l8F0J1Etg.jpg	69	181	56.324	21	41.4298	13	70.8735	20160901	992	7
how i edit my instagram photos + plan my feed-7xDrHUvI9j0.jpg	70	127	53.9161	31	33.4876	98	80.4298	20160218	381	4
how i learned to love being single (+ why you should too)-QpSAttvoGYk.jpg	71	210	61.6483	58	48.382	26	31.6673	20180906	34532	121
HOW I MAKE THAT BREAD (literally and figuratively)-N5YqaJ37hxs.jpg	72	178	58.7527	117	60.3482	13	69.2889	20200308	183483	1273
how i sell clothes online photos, listings, shipping + more-Q6WPYAm13sU.jpg	73	147	46.9862	22	20.0969	112	96.7229	20160525	661	2
HOW I SHOOT LOOKBOOKS BY MYSELF _ behind the scenes vlog-GgPl573GgM8.jpg	74	163	55.3085	12	26.7744	103	66.6937	20191107	79197	2807
HOW I STYLE VINTAGE _ GIRLFRIEND JEANS-auMh90hTWz8.jpg	75	195	42.6744	9	18.3917	51	67.6084	20160601	490	6
how i take instagram pics by myself -6AnOc6CdjSA.jpg	76	114	41.1967	36	28.633	160	103.1915	20151103	383	4
how to be an ~aesthetic instagram teen~ ft. Avrey Ovard-7qnaz6EESpY.jpg	77	160	44.9519	62	41.4411	42	80.8557	20170428	1169	4
HOW TO BUILD A CLOTHING RACK ft. my ex-bosses-X5B7aGw0-NQ.jpg	78	137	41.5906	33	37.5158	36	85.922	20160109	721	4
How to Cut a Lob {Long Bob} Yourself-gUN7Wmz4yP4.jpg	79	176	57.9966	28	29.3787	176	71.8783	20180419	23811	206
How to Dress Well on a Budget!-AzhckfWiqfw.jpg	80	91	50.9934	71	59.2001	28	71.4172	20161117	553	4
how to edit youtube videos LiKE A pRo-u5QMR0IwaNY.jpg	81	158	44.7264	15	24.5622	19	91.5983	20180125	9712	42
how to find your style + the confidence to wear it-kUE2fPLOUxo.jpg	82	155	57.6234	34	40.9694	20	84.838	20170817	2617	18
How to Get a Job at American Eagle--VYeHFvj4LY.jpg	83	123	48.0114	143	81.3835	16	66.3353	20180426	13204	70
how to look cute when ur an emotional wreck -eKUZ3KQCfJc.jpg	84	198	44.8293	26	67.8358	23	47.1684	20171207	9069	77
how to look cute when you're out of f_cks-28sHpCt5-jE.jpg	85	147	47.3913	57	43.0052	10	81.2242	20170803	2391	8
how to put together an outfit 101 - winter edition-bSMh0z2eA54.jpg	86	160	62.1258	19	40.2502	61	97.3821	20180511	6962	69
how to put together an outfit 101-bWCCIp5pHXk.jpg	87	162	60.2709	27	44.8338	65	101.7081	20180228	11646	114
How to Style a Lob with NO HEAT _ Heatless Waves for Short Hair-Lcn_SVtDpG4.jpg	88	182	59.2563	112	63.0703	41	32.1461	20170921	12081	81
How to Style a T-shirt Dress 5 Ways (Original Version)-QACewNNpce4.jpg	89	173	46.2606	60	31.4833	112	60.4136	20190516	127118	406
How to Style a T-shirt Dress 5 Ways-EJ_o3gGMmgY.jpg	90	185	41.415	75	26.611	120	57.2842	20170914	1736	11
how to style thrifted clothes-3LN3__G2yGo.jpg	91	191	55.8944	27	48.2531	19	52.5893	20181108	42652	244
HOW TO THRIFT LIKE A PRO (_actually useful_ thrifting tips)-iXR4AWCH_Sk.jpg	92	161	57.3369	32	50.6855	49	58.0701	20160128	1802	38
HUGE TRY ON THRIFT HAUL 2017 (designer finds + DIY's)-qMk5z3clFhY.jpg	93	192	58.1734	11	39.1529	42	83.544	20160422	533	5
I TRIED A CAPSULE WARDROBE FOR 30 DAYS-8dzGsnYKOS4.jpg	94	115	44.8934	22	45.996	26	49.5482	20190214	75147	556
i went to a REFORMATION SAMPLE SALE (vlog + haul)-allPoEqNB4Q.jpg	95	120	46.1397	46	30.6654	135	75.1007	20191223	276364	2930
INSTAGRAM_CELEB INSPIRED OUTFITS-JAbufUOMv-M.jpg	96	138	48.7559	17	21.916	127	78.018	20180802	357646	6024
JEANS + A TSHIRT _ 3 everyday outfit ideas-JCo-WeiEG30.jpg	97	135	44.3002	22	21.7065	59	65.4519	20181220	80352	774
LAST MINUTE _not lame_ HALLOWEEN COSTUMES-Irgv10cUjak.jpg	98	152	57.3896	24	33.5838	22	71.7008	20170928	8921	26
LAST MINUTE _not lame_ HALLOWEEN COSTUMES-tFE5VV66F6g.jpg	99	166	50.9724	44	44.3915	42	74.363	20171228	7369	73
LAZY DAY OUTFIT IDEAS-UNFDAiHmyFQ.jpg	100	118	42.452	41	25.0589	24	91.397	20190307	203437	1047
learning how to dance (w_ haley pham)-7B33Tb-2vlc.jpg	101	164	57.675	22	42.3748	31	85.3215	20180830	119105	759
let's catch up  -) a chill + chatty sunday vlog-J7pLfxgfic4.jpg	102	148	47.389	51	28.7299	25	68.939	20180607	92391	909
life update _ youtube struggles, summer plans, a webseries-cMfn1XlLcJc.jpg	103	118	64.8049	49	43.4895	47	73.1613	20190718	167556	953
London Try-On Summer Haul _ Topshop, Boots, Charity Shops-mVMIrQrXgmc.jpg	104	154	69.9523	115	57.9558	158	79.455	20171116	14971	130
losing my v card, masturbation, and other sexual adventures-qE_oqgKk4Lo.jpg	105	210	60.7729	9	46.0918	34	73.8081	20180708	12194	41
Mildly Traumatic Adventures in London-IH4HAClPXrI.jpg	106	149	38.0922	24	20.6279	99	90.1799	20170810	3890	33
MY 2017 IN A NUTSHELL -AON6JJr-Knc.jpg	107	205	51.2378	24	21.4527	24	57.0418	20180215	6646	43
MY BEST THRIFT HAUL YET + how i resell clothes-Ciu_rUZ8uIQ.jpg	108	174	62.8453	17	46.2828	28	83.1242	20180329	9315	36
MY COLLEGE EXPERIENCE (ucla film school)-mFC9NXtm9wM.jpg	109	141	52.8716	26	24.9403	22	60.4949	20170420	602	3
my everyday makeup routine (aka the daily glo up)-UW3qsjGtcto.jpg	110	181	54.4661	26	37.3123	14	94.3319	20151008	1111	20
My Eyebrow Routine-CDf6QLfAI_0.jpg	111	136	53.7226	96	49.4645	161	93.4569	20170113	1640	2
my first time at vidcon!-tfl-bPjydlw.jpg	112	146	45.823	26	38.4487	31	88.0528	20151113	552	4
my last week in college ever -HozzaixKyQk.jpg	113	150	54.1397	26	26.4746	70	75.1218	20180930	22482	281
my last weekend in LA...-IJcJEMAOJA4.jpg	114	128	37.4441	33	29.1013	23	83.9005	20170223	6496	62
my most worn clothing of 2019 -wO0gV7SRXeM.jpg	115	169	48.6811	88	41.7682	15	26.3009	20160624	1336	29
MY SHOE COLLECTION-ZkmETpMdv_8.jpg	116	158	39.6639	83	62.3974	13	45.3565	20180128	4117	26
My Week In Outfits (fall ootw + stories from my life)-J4DviH8BFeA.jpg	117	191	43.1437	27	37.1571	176	99.1028	20160205	378	3
New Channel Name + New Hair + Updates-RUFXK-BMs7k.jpg	118	201	62.3963	26	47.1606	113	62.8524	20171019	2454	19
NYC APARTMENT HUNTING (w_ rent prices + tips!)-K0n-264CETA.jpg	119	133	50.1952	73	47.0471	28	100.2903	20160318	1600	32
October Favorites 2015 _ Fashion & Drugstore Makeup-SoPlZDw5wwE.jpg	120	109	45.6111	157	84.8664	28	41.2825	20180503	75939	442
OFFICE LOOKBOOK _ outfit ideas for work + internships-pbbXKSplsEg.jpg	121	139	39.3124	25	27.2885	28	95.4722	20170727	3608	45
oops! i moved to NYC!-7yUM_LlJhLM.jpg	122	122	42.1027	29	35.8593	18	82.7724	20191212	152020	2260
OOTW _ Senior Events + Last Week of High School-qfefLKTpL4c.jpg	123	151	41.4193	144	69.699	29	68.5867	20160114	1347	11
organizing my hot mess of a closet-_eLp4-DkbFI.jpg	124	124	50.0094	35	29.4281	135	74.0579	20190530	85735	325
our first road trip together...-ios8B3UDgjU.jpg	125	153	40.0518	35	24.9729	28	84.0176	20180517	21561	163
outfits for hot af summer days (ft. me being sweaty)-HbUeaQ2BP-U.jpg	126	189	57.353	19	28.5866	187	90.1131	20200326	121709	642
Outfits of the Week - College Edition _ Spring 2017-S4yxixqXDxs.jpg	127	134	54.6554	70	51.3153	22	77.5605	20181228	64290	390
Outfits of the Week for High School _ Winter 2015-2016-H7L3wdhKk3E.jpg	128	125	43.1492	115	55.9192	27	86.4216	20180726	57349	450
painting for the first time in 4 years...-v1Xyz9QzHoM.jpg	129	172	54.2772	55	32.5272	15	66.3573	20181213	63982	217
Paris Outfit Diaries-4kc5JkjRnuQ.jpg	130	106	86.4689	15	18.2768	8	82.4106	20180908	45660	230
plan with me setting up my first bullet journal!-i1rn-mhNElQ.jpg	131	141	47.6714	38	39.4081	31	84.1432	20181125	100677	673
preparing to make 2020 my b_tch-Es3RnyhX9Y4.jpg	132	142	51.8679	55	41.0865	229	108.8777	20180614	15746	139
PROM DRESSES FOR UNDER 30.jpg	133	184	58.2636	31	42.7925	21	95.4704	20180628	17777	106
Q+A _ college decisions, confidence, my first kiss lol-yttmkiXFvR8.jpg	134	195	67.4212	22	39.734	28	65.9077	20181227	54530	183
QUICK + EASY HEATLESS CURLS (that actually look good)-rhWnr06T-oY.jpg	135	191	63.0925	12	30.535	154	86.0743	20191110	103599	631
reading people's assumptions about me _sPicY-tAe2CaBO3hI.jpg	136	165	57.8275	28	26.4068	135	66.7072	20180111	4833	44
real talk about breakups, boys, and blowjobs lol-U4mQQc2XUOk.jpg	137	152	56.9098	112	45.1021	177	73.8196	20190207	93673	927
reviewing my _iconic_ middle school outfits-kKkjTbt9ArQ.jpg	138	141	47.4689	23	36.8528	80	97.887	20190314	73965	365
ROOM TOUR (styling a small bedroom)-QOyVhZGrX6Q.jpg	139	130	52.4671	31	31.248	60	60.548	20180712	7063	41
ROOM TOUR _ my tiny college apartment in LA-d-cKzEKyK9I.jpg	140	154	49.6598	30	24.5768	25	59.2982	20190929	96621	368
SCHOOL OUTFIT IDEAS 2017-18 _ First Week of School-ms-qa4YxBeg.jpg	141	186	42.6936	13	6.3109	177	32.9577	20190620	84152	438
Shoe Collection 2016 _ Boots, Flats, Heels, & Sneakers-7gKZuHatb8k.jpg	142	159	43.9135	72	34.2309	155	75.8627	20190512	68549	398
spring cleaning my closet! -esTFzXCH1Xc.jpg	143	143	48.1852	25	22.8081	207	98.425	20190912	138228	662
Spring Try On Haul 2016 Brandy Melville, A&F, F21, AE-tLCnbPltqLc.jpg	144	176	49.8801	81	65.6507	25	95.4571	20191205	99890	473
SPRING _ SUMMER LOOKBOOK 2018-SUmKehi_9hI.jpg	145	151	38.8693	43	26.0667	73	72.4746	20190131	62991	291
STARTING AN ONLINE BUSINESS _ photography, modeling, thrifting, website design-c12qIxR2QOA.jpg	146	174	54.8903	19	28.5299	155	67.0194	20181004	41441	296
STYLING BASICS _ 5 PIECES 15 OUTFITS-FQGnGketNbs.jpg	147	217	62.923	16	29.6323	148	77.9537	20181223	42607	155
SUMMER LOOKBOOK.jpg	148	182	77.4322	36	21.8315	24	52.6751	20190425	91625	306
summer outfits of the week _warning - v cute-nYYu0zsrmck.jpg	149	108	42.0019	27	21.2205	122	90.4973	20200220	104623	1262
SUMMER TO FALL LOOKBOOK 2017 _ transitional outfits-I45sNNtPuyM.jpg	150	127	49.9395	23	20.5938	156	62.5875	20191017	65945	285
summer try-on thrift haul -pjfayLVVObc.jpg	151	165	56.7397	64	33.0813	10	40.8591	20180816	119850	733
SUSTAINABLE HAUL reformation, re_done, vintage-Wvp50gSvVNw.jpg	152	182	42.1927	33	35.7469	30	78.6782	20190328	111041	501
taking everyone i love on dates  -)-qZ-RxlGagwU.jpg	153	133	36.2033	37	27.1345	146	75.8614	20180705	120806	1980
